Biodata_ID,KodePos,SuratKeteranganLulus,AsalSMA,NomorHP,Kecamatan_ID,NamaPeserta,NIK,KK,Alamat,TempatLahir,TanggalLahir,Pasfoto
24,1412,http://dummyimage.com/207x100.png/dddddd/000000,SMA Inspirasi Mandiri,7083123908,24,RodLanchbury,270146375786,http://dummyimage.com/168x100.png/5fa2dd/ffffff,16 Milwaukee Avenue,Macaé,6/3/2001,http://dummyimage.com/125x100.png/dddddd/000000
25,1264,http://dummyimage.com/179x100.png/cc0000/ffffff,SMA Cendrawasih Sejahtera,5194629793,25,BrighamBrussell,173305489192,http://dummyimage.com/149x100.png/ff4444/ffffff,42332 Hallows Parkway,Vista Alegre,1/19/2001,http://dummyimage.com/233x100.png/cc0000/ffffff
26,1077,http://dummyimage.com/196x100.png/cc0000/ffffff,SMA Mutiara Abadi,5133941875,26,GiacomoMcGillreich,223673628249,http://dummyimage.com/157x100.png/5fa2dd/ffffff,920 Algoma Trail,Liaoyang,8/14/2001,http://dummyimage.com/104x100.png/cc0000/ffffff
27,1664,http://dummyimage.com/199x100.png/dddddd/000000,SMA Seruni Makmur,6118049192,27,MichelleSkarr,194984331020,http://dummyimage.com/126x100.png/dddddd/000000,617 Old Gate Plaza,Nova Cruz,2/4/2001,http://dummyimage.com/134x100.png/cc0000/ffffff
28,1067,http://dummyimage.com/237x100.png/cc0000/ffffff,SMA Pelita Harapan,2445955205,28,JaimeSidwell,148281212757,http://dummyimage.com/178x100.png/ff4444/ffffff,7080 Ronald Regan Terrace,Yataity del Norte,9/26/2001,http://dummyimage.com/244x100.png/ff4444/ffffff
29,1361,http://dummyimage.com/221x100.png/ff4444/ffffff,SMA Karya Gemilang,5056706817,29,SigmundMaddrah,288504695683,http://dummyimage.com/141x100.png/dddddd/000000,01991 Dawn Crossing,Soras,1/30/2001,http://dummyimage.com/238x100.png/ff4444/ffffff
30,1026,http://dummyimage.com/126x100.png/cc0000/ffffff,SMA Cendrawasih Sejahtera,6977289127,30,JohanMcLardie,343027477623,http://dummyimage.com/192x100.png/dddddd/000000,5597 Dapin Trail,Arroio Grande,9/23/2000,http://dummyimage.com/212x100.png/5fa2dd/ffffff
31,1631,http://dummyimage.com/172x100.png/5fa2dd/ffffff,SMA Karya Gemilang,1662447734,31,KarrahKeming,329363806501,http://dummyimage.com/207x100.png/5fa2dd/ffffff,0 Heath Street,Quebracho,9/21/2001,http://dummyimage.com/160x100.png/dddddd/000000
32,1071,http://dummyimage.com/155x100.png/ff4444/ffffff,SMA Gita Persada,9228130456,32,KarieMounsey,190438331165,http://dummyimage.com/149x100.png/cc0000/ffffff,2295 Summerview Park,Hearst,10/5/2000,http://dummyimage.com/238x100.png/ff4444/ffffff
33,1529,http://dummyimage.com/173x100.png/5fa2dd/ffffff,SMA Abadi Sentosa,2312704875,33,SloanEasterling,262962343460,http://dummyimage.com/210x100.png/cc0000/ffffff,515 South Court,Madamba,5/11/2001,http://dummyimage.com/167x100.png/ff4444/ffffff
34,1463,http://dummyimage.com/249x100.png/dddddd/000000,SMA Seruni Makmur,9789582426,34,VasilySlowley,276134119924,http://dummyimage.com/178x100.png/5fa2dd/ffffff,84 Browning Court,Baiyashi,5/18/2000,http://dummyimage.com/244x100.png/ff4444/ffffff
35,1237,http://dummyimage.com/116x100.png/dddddd/000000,SMA Intan Sejahtera,1306996546,35,ConstantinoStang-Gjerts,332082267758,http://dummyimage.com/141x100.png/cc0000/ffffff,80292 Graedel Point,Tahe,6/19/2001,http://dummyimage.com/171x100.png/dddddd/000000
36,1286,http://dummyimage.com/155x100.png/ff4444/ffffff,SMA Bintang Cerdas,3004905936,36,DeboraMeier,277029996633,http://dummyimage.com/147x100.png/5fa2dd/ffffff,57 Sundown Terrace,Béré,10/3/2000,http://dummyimage.com/153x100.png/5fa2dd/ffffff
37,1462,http://dummyimage.com/221x100.png/5fa2dd/ffffff,SMA Pelita Harapan,3082020774,37,VinceDericot,325943685493,http://dummyimage.com/196x100.png/dddddd/000000,179 Anhalt Avenue,Puszczykowo,8/11/2000,http://dummyimage.com/246x100.png/ff4444/ffffff
38,1276,http://dummyimage.com/224x100.png/cc0000/ffffff,SMA Trijaya Mandiri,8294987808,38,LillyLarrad,146221589400,http://dummyimage.com/133x100.png/5fa2dd/ffffff,317 Welch Point,Zaozerne,5/15/2000,http://dummyimage.com/173x100.png/dddddd/000000
39,1363,http://dummyimage.com/205x100.png/ff4444/ffffff,SMA Satria Muda,2677878452,39,BruceJosovich,135426899658,http://dummyimage.com/234x100.png/ff4444/ffffff,61 Coolidge Pass,Melekyne,7/28/2001,http://dummyimage.com/212x100.png/ff4444/ffffff
40,1421,http://dummyimage.com/246x100.png/5fa2dd/ffffff,SMA Cendrawasih Sejahtera,3602073237,40,GinoVidgen,210975836200,http://dummyimage.com/170x100.png/ff4444/ffffff,3807 Pine View Lane,Mempawah,7/5/2001,http://dummyimage.com/105x100.png/5fa2dd/ffffff
41,1528,http://dummyimage.com/240x100.png/5fa2dd/ffffff,SMA Cendrawasih Sejahtera,6104606246,41,LilGilbride,201046647549,http://dummyimage.com/165x100.png/ff4444/ffffff,447 Oxford Lane,Steinkjer,11/16/2001,http://dummyimage.com/157x100.png/dddddd/000000
42,1291,http://dummyimage.com/125x100.png/cc0000/ffffff,SMA Seruni Makmur,4048601730,42,KorenNorfolk,175224702310,http://dummyimage.com/155x100.png/ff4444/ffffff,3 Barnett Park,Talata Mafara,4/9/2001,http://dummyimage.com/214x100.png/dddddd/000000
43,1019,http://dummyimage.com/235x100.png/dddddd/000000,SMA Inspirasi Mandiri,9112809206,43,BrendonChecketts,166009905214,http://dummyimage.com/127x100.png/cc0000/ffffff,3 Norway Maple Pass,Little Current,9/23/2000,http://dummyimage.com/242x100.png/5fa2dd/ffffff
44,1301,http://dummyimage.com/119x100.png/dddddd/000000,SMA Mahkota Surya,8011153317,44,SelestinaPreddy,141068554430,http://dummyimage.com/140x100.png/cc0000/ffffff,221 Calypso Court,Ilhabela,12/27/2000,http://dummyimage.com/160x100.png/ff4444/ffffff
45,1290,http://dummyimage.com/239x100.png/cc0000/ffffff,SMA Trijaya Mandiri,1687606390,45,ArneyLebarree,201418137357,http://dummyimage.com/241x100.png/5fa2dd/ffffff,70 Tennyson Terrace,Zherdevka,5/15/2001,http://dummyimage.com/186x100.png/5fa2dd/ffffff
46,1531,http://dummyimage.com/147x100.png/5fa2dd/ffffff,SMA Intan Sejahtera,7098906345,46,VernenGriston,184151657119,http://dummyimage.com/152x100.png/cc0000/ffffff,508 Corry Pass,Weifang,7/8/2000,http://dummyimage.com/195x100.png/dddddd/000000
47,1441,http://dummyimage.com/167x100.png/cc0000/ffffff,SMA Bintang Cerdas,7758331278,47,WendallBreckenridge,187701032074,http://dummyimage.com/241x100.png/ff4444/ffffff,23382 Kensington Court,Yên Bái,6/27/2001,http://dummyimage.com/183x100.png/cc0000/ffffff
48,1653,http://dummyimage.com/181x100.png/dddddd/000000,SMA Mutiara Abadi,1799426550,48,MadelonSimecek,185607816627,http://dummyimage.com/108x100.png/cc0000/ffffff,7629 Anderson Crossing,Jambesari,8/9/2001,http://dummyimage.com/216x100.png/dddddd/000000
49,1166,http://dummyimage.com/120x100.png/dddddd/000000,SMA Nusantara Cendekia,3452761594,49,ErichTombleson,139105104098,http://dummyimage.com/143x100.png/dddddd/000000,90799 Merry Lane,El Mirador,9/10/2001,http://dummyimage.com/203x100.png/dddddd/000000
50,1301,http://dummyimage.com/111x100.png/5fa2dd/ffffff,SMA Seruni Makmur,2462773795,50,BradyCall,149687876544,http://dummyimage.com/213x100.png/dddddd/000000,55 Laurel Junction,Aliuroba,8/25/2000,http://dummyimage.com/215x100.png/dddddd/000000
